Customer_Key,Customer_ID,Age,Gender,Occupation,Income_Bracket,Customer_Segment,Account_Type,Risk_Category,Join_Date,Credit_Score
1,C000001,41,Male,Salaried,Mid,Premium,Current,Low,2020-03-04,663
2,C000002,60,Female,Salaried,High,Retail,Current,Low,2014-04-02,577
3,C000003,24,Female,Retired,Mid,Corporate,Savings,Low,2013-04-13,551
4,C000004,26,Female,Salaried,Low,Premium,Salary,Medium,2021-04-26,761
5,C000005,22,Male,Salaried,Low,Retail,Current,Low,2016-02-01,617
6,C000006,36,Male,Student,Low,SME,Savings,High,2015-10-01,677
7,C000007,47,Male,Self-Employed,Mid,Premium,Current,Low,2015-07-04,573
8,C000008,24,Female,Student,Mid,Retail,Savings,Medium,2014-07-26,802
9,C000009,61,Female,Salaried,Mid,Premium,Current,Medium,2021-04-05,779
10,C000010,62,Female,Self-Employed,Low,Retail,Savings,Medium,2014-02-24,725
11,C000011,68,Male,Salaried,Low,Corporate,NRI,High,2020-08-03,770
12,C000012,63,Female,Salaried,Mid,Corporate,Savings,Medium,2021-04-22,585
13,C000013,55,Female,Retired,Mid,SME,Current,High,2023-01-03,551
14,C000014,26,Male,Salaried,Low,Premium,Savings,Low,2019-02-12,823
15,C000015,52,Male,Self-Employed,Mid,Retail,Current,Medium,2013-12-23,726
16,C000016,34,Male,Self-Employed,Low,Corporate,Current,Low,2019-08-16,813
17,C000017,64,Male,Salaried,High,Retail,Savings,Low,2017-09-25,735
18,C000018,22,Female,Retired,High,Premium,Current,Low,2013-05-11,564
19,C000019,43,Male,Salaried,Low,Premium,Savings,Low,2013-05-03,828
20,C000020,36,Male,Business Owner,Low,Retail,NRI,Low,2014-01-19,743
21,C000021,47,Female,Homemaker,Mid,Retail,Savings,Low,2015-06-15,747
22,C000022,39,Male,Self-Employed,Low,Corporate,NRI,Low,2015-08-11,613
23,C000023,69,Male,Retired,Mid,Corporate,NRI,High,2018-09-01,839
24,C000024,30,Male,Salaried,High,Retail,Savings,Low,2019-10-02,567
25,C000025,22,Male,Self-Employed,Mid,Retail,Savings,Medium,2013-04-19,613
26,C000026,64,Female,Salaried,High,Retail,Savings,Low,2019-04-18,800
27,C000027,30,Male,Business Owner,Mid,Corporate,NRI,High,2015-03-26,566
28,C000028,44,Male,Homemaker,Low,Retail,Savings,High,2021-01-11,690
29,C000029,64,Female,Salaried,Mid,Premium,Savings,Medium,2020-04-15,794
30,C000030,66,Male,Business Owner,Mid,Retail,NRI,Medium,2020-11-12,839
31,C000031,23,Female,Salaried,Mid,Premium,Savings,Low,2019-02-11,636
32,C000032,35,Male,Self-Employed,Low,Retail,Current,High,2017-09-15,748
33,C000033,59,Male,Self-Employed,Low,Corporate,Savings,High,2015-06-22,710
34,C000034,61,Female,Homemaker,High,Retail,Savings,High,2018-01-14,689
35,C000035,39,Female,Business Owner,Low,Premium,Current,Medium,2019-08-11,625
36,C000036,37,Female,Salaried,High,Retail,Savings,Low,2016-02-14,568
37,C000037,50,Male,Salaried,High,Premium,Savings,High,2022-01-29,599
38,C000038,65,Male,Salaried,Mid,Corporate,NRI,Low,2022-10-01,781
