Employee_Key,Employee_ID,Department,Role,Experience_Years,Salary_Band,Education,Performance_Rating,Hire_Date
1,E00001,Retail Banking,Teller,16,Band 2 (5-8L),CA,Meets Expectations,2009-09-08
2,E00002,Corporate Banking,Teller,25,Band 4 (12-20L),Graduate,Exceeds Expectations,2010-06-14
3,E00003,Operations,Relationship Manager,10,Band 5 (20L+),Graduate,Outstanding,2014-09-27
4,E00004,Retail Banking,Analyst,5,Band 2 (5-8L),Post Graduate,Needs Improvement,2006-08-14
5,E00005,IT,Loan Officer,14,Band 3 (8-12L),Graduate,Outstanding,2000-02-16
6,E00006,IT,Relationship Manager,24,Band 3 (8-12L),MBA,Meets Expectations,2012-06-08
7,E00007,Operations,Relationship Manager,19,Band 4 (12-20L),CA,Needs Improvement,2006-06-28
8,E00008,Corporate Banking,IT Support,4,Band 2 (5-8L),Graduate,Exceeds Expectations,2005-10-30
9,E00009,Corporate Banking,Customer Service Rep,20,Band 3 (8-12L),Post Graduate,Exceeds Expectations,2011-03-30
10,E00010,Corporate Banking,Customer Service Rep,16,Band 2 (5-8L),PhD,Outstanding,2007-10-29
11,E00011,Corporate Banking,Relationship Manager,24,Band 2 (5-8L),MBA,Outstanding,2004-12-06
12,E00012,Retail Banking,Analyst,15,Band 1 (3-5L),PhD,Outstanding,2001-02-26
13,E00013,Operations,Teller,9,Band 3 (8-12L),Graduate,Meets Expectations,2005-11-29
14,E00014,Corporate Banking,Customer Service Rep,3,Band 4 (12-20L),Graduate,Meets Expectations,2000-08-31
15,E00015,Retail Banking,IT Support,23,Band 2 (5-8L),Graduate,Meets Expectations,2016-01-26
16,E00016,Retail Banking,Relationship Manager,9,Band 3 (8-12L),Post Graduate,Exceeds Expectations,2010-09-03
17,E00017,Retail Banking,Teller,18,Band 3 (8-12L),MBA,Meets Expectations,2014-07-10
18,E00018,Risk & Compliance,Branch Manager,4,Band 2 (5-8L),Graduate,Meets Expectations,2000-09-15
19,E00019,Retail Banking,Teller,19,Band 4 (12-20L),Post Graduate,Exceeds Expectations,2007-10-25
20,E00020,HR,Teller,24,Band 2 (5-8L),Graduate,Exceeds Expectations,2011-11-26
21,E00021,Operations,Analyst,4,Band 1 (3-5L),MBA,Outstanding,2002-05-08
22,E00022,HR,Teller,9,Band 1 (3-5L),Graduate,Needs Improvement,2005-09-07
23,E00023,Corporate Banking,Loan Officer,1,Band 4 (12-20L),Graduate,Meets Expectations,2018-11-19
24,E00024,Risk & Compliance,Analyst,1,Band 5 (20L+),MBA,Meets Expectations,2005-02-05
25,E00025,Retail Banking,IT Support,20,Band 2 (5-8L),Graduate,Meets Expectations,2002-11-07
26,E00026,Operations,Loan Officer,19,Band 1 (3-5L),Post Graduate,Meets Expectations,2021-05-12
27,E00027,Retail Banking,Teller,3,Band 2 (5-8L),Post Graduate,Outstanding,2020-02-09
28,E00028,Corporate Banking,Relationship Manager,10,Band 3 (8-12L),CA,Meets Expectations,2016-03-28
29,E00029,Operations,Branch Manager,12,Band 3 (8-12L),MBA,Meets Expectations,2023-01-08
30,E00030,Operations,Loan Officer,18,Band 5 (20L+),MBA,Outstanding,2004-11-21
31,E00031,Corporate Banking,Relationship Manager,14,Band 4 (12-20L),PhD,Needs Improvement,2020-04-10
32,E00032,Retail Banking,Teller,10,Band 4 (12-20L),PhD,Exceeds Expectations,2022-08-07
33,E00033,Operations,Branch Manager,10,Band 2 (5-8L),MBA,Exceeds Expectations,2009-12-08
34,E00034,Corporate Banking,Loan Officer,18,Band 2 (5-8L),Post Graduate,Meets Expectations,2001-12-11
35,E00035,Retail Banking,Teller,24,Band 3 (8-12L),MBA,Meets Expectations,2023-05-23
36,E00036,Risk & Compliance,Relationship Manager,1,Band 2 (5-8L),Post Graduate,Exceeds Expectations,2013-07-12
37,E00037,Treasury,Teller,15,Band 2 (5-8L),PhD,Meets Expectations,2020-07-18
38,E00038,HR,Loan Officer,8,Band 1 (3-5L),MBA,Exceeds Expectations,2001-05-25
39,E00039,IT,Customer Service Rep,26,Band 2 (5-8L),Graduate,Meets Expectations,2002-09-23
40,E00040,Retail Banking,Teller,3,Band 3 (8-12L),Graduate,Outstanding,2021-06-26
41,E00041,Treasury,Customer Service Rep,18,Band 3 (8-12L),Graduate,Outstanding,2018-01-06
42,E00042,Corporate Banking,Relationship Manager,9,Band 1 (3-5L),Graduate,Outstanding,2019-02-14
43,E00043,Retail Banking,Relationship Manager,16,Band 3 (8-12L),Graduate,Exceeds Expectations,2004-11-03
44,E00044,IT,Branch Manager,21,Band 1 (3-5L),Post Graduate,Exceeds Expectations,2021-12-28
45,E00045,Retail Banking,Loan Officer,15,Band 3 (8-12L),Graduate,Meets Expectations,2019-11-24
46,E00046,Corporate Banking,Customer Service Rep,5,Band 2 (5-8L),MBA,Exceeds Expectations,2003-04-19
47,E00047,Retail Banking,Relationship Manager,13,Band 4 (12-20L),Graduate,Outstanding,2003-08-16
48,E00048,Corporate Banking,Loan Officer,22,Band 3 (8-12L),Graduate,Outstanding,2014-06-13
49,E00049,Operations,Teller,20,Band 3 (8-12L),Post Graduate,Outstanding,2006-08-27
50,E00050,Corporate Banking,IT Support,7,Band 3 (8-12L),CA,Exceeds Expectations,2002-12-12
51,E00051,Retail Banking,Customer Service Rep,16,Band 3 (8-12L),Post Graduate,Outstanding,2005-08-29
52,E00052,Corporate Banking,Customer Service Rep,7,Band 1 (3-5L),Post Graduate,Exceeds Expectations,2012-05-02
53,E00053,Corporate Banking,Loan Officer,27,Band 3 (8-12L),Post Graduate,Exceeds Expectations,2014-08-02
54,E00054,Retail Banking,IT Support,25,Band 2 (5-8L),Graduate,Meets Expectations,2017-01-31
55,E00055,Risk & Compliance,IT Support,22,Band 2 (5-8L),Post Graduate,Meets Expectations,2013-03-24
56,E00056,Corporate Banking,Loan Officer,16,Band 2 (5-8L),Graduate,Exceeds Expectations,2020-05-08
57,E00057,HR,Teller,13,Band 4 (12-20L),Post Graduate,Exceeds Expectations,2022-09-04
58,E00058,Retail Banking,Teller,17,Band 2 (5-8L),MBA,Exceeds Expectations,2019-04-19
59,E00059,Retail Banking,Teller,9,Band 2 (5-8L),MBA,Outstanding,2004-06-12
60,E00060,Retail Banking,Loan Officer,12,Band 5 (20L+),Graduate,Outstanding,2005-02-17
61,E00061,Corporate Banking,Teller,13,Band 4 (12-20L),MBA,Meets Expectations,2009-08-23
62,E00062,Retail Banking,Analyst,26,Band 1 (3-5L),Graduate,Exceeds Expectations,2019-04-17
63,E00063,Corporate Banking,Teller,9,Band 4 (12-20L),Graduate,Needs Improvement,2020-04-03
64,E00064,Corporate Banking,Customer Service Rep,5,Band 2 (5-8L),Post Graduate,Exceeds Expectations,2010-04-01
65,E00065,Retail Banking,Teller,7,Band 3 (8-12L),Post Graduate,Meets Expectations,2018-07-24
66,E00066,Operations,Customer Service Rep,1,Band 3 (8-12L),Graduate,Meets Expectations,2015-03-16
67,E00067,Treasury,Teller,4,Band 2 (5-8L),MBA,Exceeds Expectations,2020-05-05
68,E00068,Retail Banking,Loan Officer,26,Band 3 (8-12L),CA,Exceeds Expectations,2017-11-19
69,E00069,Operations,Teller,4,Band 2 (5-8L),Graduate,Meets Expectations,2018-08-29
70,E00070,Operations,Teller,16,Band 1 (3-5L),Post Graduate,Meets Expectations,2004-04-06
71,E00071,Corporate Banking,Analyst,5,Band 3 (8-12L),Graduate,Exceeds Expectations,2014-01-07
72,E00072,HR,Relationship Manager,22,Band 2 (5-8L),Post Graduate,Outstanding,2019-02-22
73,E00073,Treasury,Teller,4,Band 5 (20L+),Graduate,Exceeds Expectations,2014-01-07
74,E00074,Corporate Banking,Relationship Manager,6,Band 2 (5-8L),PhD,Exceeds Expectations,2011-06-08
75,E00075,Operations,Analyst,26,Band 1 (3-5L),Post Graduate,Needs Improvement,2016-10-15
76,E00076,Operations,Teller,23,Band 3 (8-12L),MBA,Meets Expectations,2006-11-05
77,E00077,Corporate Banking,Loan Officer,3,Band 2 (5-8L),Graduate,Outstanding,2021-04-10
78,E00078,Retail Banking,Relationship Manager,25,Band 1 (3-5L),MBA,Exceeds Expectations,2003-01-04
79,E00079,Risk & Compliance,Teller,8,Band 2 (5-8L),CA,Outstanding,2004-02-03
80,E00080,IT,Analyst,17,Band 5 (20L+),MBA,Meets Expectations,2003-10-30
81,E00081,Retail Banking,Relationship Manager,18,Band 2 (5-8L),CA,Needs Improvement,2004-03-07
82,E00082,Retail Banking,Customer Service Rep,18,Band 2 (5-8L),Graduate,Outstanding,2019-05-16
83,E00083,Risk & Compliance,Relationship Manager,26,Band 2 (5-8L),Post Graduate,Exceeds Expectations,2004-05-01
84,E00084,Retail Banking,Teller,25,Band 1 (3-5L),MBA,Needs Improvement,2016-09-18
85,E00085,Operations,Loan Officer,12,Band 1 (3-5L),Post Graduate,Outstanding,2005-11-01
86,E00086,Retail Banking,Loan Officer,25,Band 4 (12-20L),CA,Exceeds Expectations,2002-09-09
87,E00087,Retail Banking,Loan Officer,25,Band 5 (20L+),Graduate,Exceeds Expectations,2014-10-14
88,E00088,Retail Banking,Loan Officer,1,Band 1 (3-5L),Graduate,Outstanding,2005-06-25
