Attrition_ID,Customer_Key,Branch_Key,Date_Key,Months_Inactive,Complaints_Count,Avg_Balance,Transaction_Frequency,Loan_Default_Flag,Churn_Flag
1,126,4,367,16,7,353074.24,11,0,1
2,904,19,1254,18,5,807425.45,60,0,1
3,1809,18,587,0,8,84244.77,55,0,0
4,1570,9,742,26,14,402820.78,42,1,1
5,713,11,1283,31,3,709506.56,8,0,0
6,608,14,943,0,10,453482.19,1,0,0
7,397,7,268,11,7,976020.51,63,0,0
8,961,17,784,13,13,783695.12,72,0,0
9,1856,10,1689,5,5,744363.24,45,0,0
10,1405,14,1475,29,9,892641.6,49,0,1
11,101,7,938,20,7,203999.33,23,0,0
12,1145,16,785,8,13,539243.21,4,0,0
13,268,14,1326,7,3,421252.8,50,0,0
14,841,11,1549,27,10,565157.72,4,0,1
15,1632,11,993,26,5,969207.27,40,0,0
16,1010,13,1558,15,9,723750.03,49,1,1
17,1300,5,868,8,8,264927.61,22,1,1
18,325,13,80,10,13,235460.63,30,0,0
19,44,12,1749,33,2,555245.57,58,0,0
20,1650,16,93,27,4,962203.85,34,0,1
21,95,5,909,30,6,51070.77,45,0,1
22,1461,3,780,26,4,861782.42,55,0,0
23,1988,11,1006,14,10,566962.87,16,1,1
24,1757,18,801,17,7,96687.15,48,0,0
25,1546,19,915,20,0,778625.19,79,0,0
26,1225,6,1641,34,7,627031.99,55,0,1
27,1818,19,1465,12,2,960392.11,8,0,0
28,770,13,997,15,8,968668.77,4,0,1
29,1859,3,1408,30,2,860652.54,49,0,1
30,1384,9,1466,27,11,459262.53,17,0,1
31,131,4,621,10,5,300722.14,74,0,0
32,1077,6,395,15,3,566646.56,9,0,1
33,1877,20,1770,31,3,455867.87,28,1,0
34,288,13,979,20,10,254722.96,79,0,0
35,1801,5,1673,19,2,704910.12,61,0,0
36,1610,18,1560,12,0,679748.16,14,0,0
37,534,2,276,1,13,363757.71,17,0,0
38,217,9,1035,5,6,398079.91,35,0,0
39,1731,10,651,13,4,401921.21,15,0,0
40,1881,11,236,30,8,472338.38,55,1,1
41,663,4,1506,32,5,331234.03,55,0,0
42,1618,5,1787,34,2,71905.15,50,0,0
43,1839,5,600,7,9,687020.94,58,0,0
44,286,4,866,10,12,940190.85,51,0,1
45,1946,9,428,25,13,99465.23,13,1,1
46,1095,20,1530,22,9,438028.74,59,0,1
47,30,18,1566,11,4,374347.83,49,0,0
48,1034,20,1755,5,13,676392.31,63,0,0
49,421,3,678,13,6,888551.41,44,0,0
50,946,10,1803,26,7,857863.34,68,0,1
51,684,17,902,1,7,237108.37,3,0,0
52,1651,19,500,9,2,941823.39,14,0,0
53,39,18,1517,2,4,437466.1,18,0,0
54,1531,5,576,17,5,974429.14,50,0,0
55,259,13,1728,22,4,751225.42,48,0,0
56,772,20,1765,2,4,458813.06,79,0,1
57,421,10,1384,14,7,428055.51,12,0,0
58,171,11,1817,16,5,926762.7,10,0,1
59,1071,2,1114,12,11,211197.09,36,0,1
60,111,8,512,14,10,892599.43,16,0,0
61,619,20,618,33,14,659302.09,21,0,1
62,779,3,1069,1,11,391774.16,27,1,0
63,488,9,395,14,0,950625.83,0,0,1
64,1010,12,897,7,6,474118.32,73,0,1
65,740,2,497,12,2,125711.32,78,0,0
66,185,9,336,10,3,937833.09,13,0,0
67,1082,8,1442,34,8,818139.96,41,0,0
68,739,10,1616,26,9,258024.7,21,0,0
69,299,17,347,35,6,171056.45,69,0,0
70,723,1,467,16,5,394346.97,59,0,0
71,1795,11,563,5,8,911776.52,13,0,0
72,1875,14,1138,25,7,270783.9,70,0,0
73,952,19,1763,20,8,27779.3,0,0,0
74,1748,10,621,29,10,886637.22,51,0,1
75,1164,19,854,29,2,275553.73,76,0,1
76,1237,20,1437,28,7,339646.55,17,0,1
77,446,8,1119,31,13,342283.32,32,0,1
78,1284,16,26,30,13,429170.77,75,0,1
79,56,4,827,11,10,720500.53,5,0,0
80,910,17,1497,23,13,823086.42,67,0,0
81,518,17,1321,0,1,249011.27,75,0,0
82,1987,12,532,3,5,196864.7,26,0,1
83,1030,17,205,23,8,124293.78,57,0,0
84,1512,16,1805,8,12,838977.29,76,0,1
85,339,13,20,3,9,239976.41,37,0,0
86,1581,1,1572,11,5,382517.68,39,0,0
87,935,14,1415,12,11,298923.5,62,0,0
88,1629,9,1236,10,8,998017.56,53,1,0
89,1463,19,757,23,4,128220.43,7,0,0
90,479,10,1606,34,4,325439.95,44,0,0
91,1648,19,1471,32,5,520539.87,41,1,1
92,1603,13,550,26,2,484975.31,32,0,0
93,270,16,1441,6,0,711195.2,47,0,0
94,809,8,962,10,4,583970.75,22,0,0
95,1217,18,1740,28,8,525140.7,75,0,0
96,520,2,495,9,7,802050.59,38,1,1
97,1878,20,950,2,1,780244.36,65,0,0
98,813,1,215,27,7,612230.6,65,0,1
99,678,5,1262,35,11,493137.67,78,0,1
100,1986,19,1712,16,1,512180.4,31,0,0
101,286,19,391,16,9,222613.5,21,0,1
102,558,6,1223,32,4,204294.52,32,0,1
103,1786,1,484,34,5,608917.49,20,0,1
104,1207,5,1215,9,9,102877.2,64,0,0
105,930,9,319,5,9,727857.45,24,1,1
106,1854,13,439,10,9,124462.27,45,0,0
107,1873,12,1140,9,3,552197.69,69,0,0
108,1796,14,1795,2,13,616820.2,68,0,1
109,1160,13,1423,10,3,121710.24,37,0,0
110,1553,20,1145,33,14,166404.14,7,0,1
111,411,19,425,19,7,219064.79,48,0,0
112,90,6,1522,15,8,65606.15,27,0,0
113,1136,17,410,7,1,786601.69,43,0,0
114,1360,6,1006,11,6,491681.13,73,0,0
115,112,14,88,14,0,97188.5,23,0,1
116,738,6,376,35,9,206437.25,55,0,0
117,1574,1,1422,28,12,734630.52,27,1,0
118,372,15,1148,19,7,665944.28,51,0,0
119,344,3,659,30,8,663500.27,12,0,1
120,1837,5,1717,16,7,833079.01,22,0,1
121,1368,17,1218,1,10,111892.54,3,0,0
122,1101,5,315,13,4,529281.89,50,0,0
123,425,19,1301,6,3,779459.84,65,1,1
124,157,9,1612,12,1,881583.66,18,0,0
125,523,7,217,4,10,985442.14,5,0,0
126,1284,2,231,24,11,920583.82,27,1,0
127,660,20,1558,1,9,958682.62,38,0,0
128,1714,1,1429,24,1,29204.64,64,0,0
129,1740,20,598,0,7,768442.09,21,0,1
130,531,12,275,35,9,65884.74,11,0,1
131,642,9,150,4,7,20351.57,13,0,0
132,782,15,236,12,13,54802.53,33,0,1
133,645,8,1452,7,7,61829.68,46,0,0
134,1890,17,172,18,11,849676.19,47,0,0
135,1998,19,1749,35,0,596141.72,78,1,0
136,964,20,55,5,5,349340.33,69,0,1
