Performance_ID,Date_Key,Branch_Key,Customer_Key,Employee_Key,Product_Key,Transaction_Count,Transaction_Amount,Customer_Attrition_Flag,Employee_Customer_Ratio,Avg_Service_Time,Customer_Satisfaction_Score,Revenue_Generated,Operating_Cost
1,1208,20,45,458,9,269,2683735.45,0,0.1633,15.9,4.9,83060.49,29744.83
2,1040,17,1964,30,13,354,370797.48,0,0.4354,41.7,2.7,20373.42,11757.5
3,756,19,630,470,13,470,3998537.69,0,0.35,26.2,3.9,164016.8,120211.92
4,1530,2,294,380,13,493,4282879.33,0,0.4883,9,4.4,129778.58,95457.41
5,1110,12,1149,312,15,474,2962015.97,0,0.4149,58.5,2.6,165439.04,115185.33
6,711,19,1572,350,2,482,4894999.32,0,0.445,7.9,4.4,139370.9,95868.08
7,1034,5,344,288,5,443,2776568.68,0,0.0492,53.1,2.7,150581.37,115033.78
8,477,12,1001,78,10,303,136796.52,0,0.0384,21.7,4.7,4771.66,3019.11
9,1188,17,892,23,10,216,2319806.73,0,0.341,9.2,4.8,123763.58,57464.72
10,24,5,423,17,9,248,2000017.57,0,0.3173,5,4.2,90832.43,32182.77
11,1600,2,167,122,15,277,971270.8,0,0.0416,29.5,4,41002.32,16501.64
12,312,4,269,228,11,351,2672701.29,0,0.0633,26,3.7,145367.94,84054.86
13,1262,6,1218,477,12,12,2274475.49,0,0.2541,30.3,3.9,135960.9,67757.77
14,462,9,930,408,4,106,856618.65,0,0.406,40.8,3.9,46894.74,30540.63
15,1486,10,1148,175,15,24,2530998.84,1,0.3696,17.7,4.7,36443.1,21481.38
16,1262,11,1295,395,9,277,4172309.21,0,0.2765,2.1,4.8,76523.35,46951.5
17,22,2,1082,41,8,4,2546768.45,1,0.2401,33.3,4.1,149304.27,59430.03
18,180,9,880,15,9,281,1087891.64,0,0.3992,5,5,32476.65,21761.24
19,1583,20,59,214,13,8,3429757.33,1,0.1766,49.4,2.6,62410.4,45734.62
20,791,17,450,91,13,164,4349125.35,0,0.3741,48.9,3.1,65450.66,37469.13
